Date,Open,High,Low,Close,Adj Close,Volume
2018-02-13,60.880001,62.959999,60.560001,62.380001,62.380001,3333800
2018-02-14,62.270000,63.480000,61.820000,63.380001,63.380001,3041100
2018-02-15,63.900002,64.769997,63.400002,64.730003,64.730003,3445000
2018-02-16,64.400002,64.449997,63.259998,63.900002,63.900002,3042800
2018-02-20,63.490002,64.220001,62.650002,63.970001,63.970001,3731500
2018-02-21,63.750000,65.260002,63.599998,63.610001,63.610001,1723000
2018-02-22,63.950001,64.750000,63.560001,63.770000,63.770000,1252300
2018-02-23,64.190002,64.809998,63.730000,64.720001,64.720001,1442400
2018-02-26,64.879997,65.410004,64.220001,64.900002,64.900002,1409600
2018-02-27,65.209999,65.690002,63.590000,63.619999,63.619999,1739400
2018-02-28,64.000000,64.099998,62.910000,62.930000,62.930000,1630100
2018-03-01,62.880001,63.680000,62.020000,63.240002,63.240002,2476200
2018-03-02,62.459999,62.459999,60.630001,61.869999,61.869999,2544600
2018-03-05,61.439999,62.230000,60.910000,61.910000,61.910000,2800600
2018-03-06,61.820000,62.529999,61.560001,62.070000,62.070000,1381600
2018-03-07,61.419998,61.840000,60.810001,61.669998,61.669998,2029900
2018-03-08,61.939999,61.939999,60.630001,60.709999,60.709999,2124300
2018-03-09,60.990002,61.730000,60.790001,61.400002,61.400002,1866000
2018-03-12,61.299999,61.490002,60.470001,61.410000,61.410000,1532100
2018-03-13,61.939999,62.900002,61.790001,62.279999,62.279999,1400500
2018-03-14,62.230000,62.439999,60.730000,61.099998,61.099998,2122200
2018-03-15,61.360001,61.580002,60.799999,60.840000,60.840000,1220500
2018-03-16,61.040001,62.099998,60.889999,61.549999,61.549999,2558800
2018-03-19,61.560001,62.990002,61.290001,61.750000,61.750000,1551400
2018-03-20,61.840000,62.950001,61.430000,62.639999,62.639999,2033100
2018-03-21,62.869999,64.540001,62.480000,63.259998,63.259998,1617200
2018-03-22,62.520000,63.250000,62.040001,62.099998,62.099998,1153400
2018-03-23,62.270000,62.270000,61.000000,61.150002,61.150002,1455100
2018-03-26,62.020000,62.830002,61.270000,62.720001,62.720001,1048900
2018-03-27,62.959999,62.959999,61.090000,61.509998,61.509998,949200
2018-03-28,61.770000,62.529999,60.709999,61.209999,61.209999,2104500
2018-03-29,61.660000,62.330002,61.500000,62.080002,62.080002,1780900
2018-04-02,61.840000,62.470001,60.580002,61.939999,61.939999,2282100
2018-04-03,62.049999,63.000000,61.830002,62.830002,62.830002,1765800
2018-04-04,62.110001,64.389999,61.820000,64.309998,64.309998,1812100
2018-04-05,64.419998,66.220001,64.379997,66.019997,66.019997,1694100
2018-04-06,65.709999,66.230003,64.169998,64.860001,64.860001,2731500
2018-04-09,65.209999,65.440002,64.199997,64.269997,64.269997,1874200
2018-04-10,64.760002,65.440002,64.620003,65.230003,65.230003,1334200
2018-04-11,64.910004,66.099998,64.769997,65.099998,65.099998,1309100
2018-04-12,65.169998,66.419998,65.029999,66.080002,66.080002,1493500
2018-04-13,66.449997,66.580002,65.010002,65.379997,65.379997,1157600
2018-04-16,65.660004,65.849998,65.019997,65.500000,65.500000,1261300
2018-04-17,66.169998,67.000000,65.669998,66.839996,66.839996,1561800
2018-04-18,66.989998,67.330002,65.320000,65.540001,65.540001,1902500
2018-04-19,65.610001,65.989998,65.080002,65.709999,65.709999,1218900
2018-04-20,65.580002,66.180000,64.800003,65.010002,65.010002,1827000
2018-04-23,67.339996,68.330002,66.660004,67.849998,67.849998,2819800
2018-04-24,68.260002,68.669998,67.190002,67.690002,67.690002,2073000
2018-04-25,67.830002,67.839996,66.660004,66.910004,66.910004,1670100
2018-04-26,67.070000,68.889999,66.800003,68.480003,68.480003,1226600
2018-04-27,68.459999,69.940002,68.410004,69.059998,69.059998,1527400
2018-04-30,69.760002,70.000000,68.419998,68.419998,68.419998,1578100
2018-05-01,67.610001,67.699997,65.519997,66.400002,66.400002,2740500
2018-05-02,66.239998,66.400002,65.220001,65.470001,65.470001,2311600
2018-05-03,64.050003,64.050003,61.080002,61.419998,61.419998,4158600
2018-05-04,61.380001,61.950001,60.779999,61.560001,61.560001,2448100
2018-05-07,61.610001,61.779999,60.220001,61.549999,61.549999,2413400
2018-05-08,61.619999,62.180000,60.990002,61.389999,61.389999,2104100
2018-05-09,61.439999,62.709999,61.340000,62.380001,62.380001,1832700
2018-05-10,62.360001,63.029999,62.060001,62.900002,62.900002,1525300
2018-05-11,62.860001,63.340000,62.410000,63.080002,63.080002,1648400
2018-05-14,63.619999,63.849998,62.970001,63.189999,63.189999,1464800
2018-05-15,62.720001,64.570000,62.709999,64.449997,64.449997,2003900
